N ID,Visit name,Quarter ID_original,Combined1,Combined,SCM Type,AID,Type of bacteria,Type of bacteria1,Bacteria_groups,Bacteria_groups_code,Any_pathogen,NAS,Mammaliicoccus,NASM,Gram_neg,Other_bac,Staph_au,Not_iden,Strept,Code for bacterial class,CMT score,Bacterial growth,Quarter ID,QP,QP_RL,QP_FH,T_shape,T_lesion,T_congenital1,AID,AID_original,B_mastitis,Age,Age_code,Breed,Breed1,Breed_Code,BCS,BCS_code,BCS1,A_my,Milk yield_code,L_stage,L_stage code,Pregnancy,Parity,Parity_code,Parity_code1,U_symmetry,U_shape,T_block,T_congenital,T_position,C_hind_quarter,U_dis,H_any_dis,H_lameness,H_cm,H_abort,H_calf_m,FID_original,FID,District,Visit name,F_mastitis,BMSCC,Log10BMSCC,R_system,Rs_code,Month,Season,Education,TN_Buffalo,N_lactating,Breeds,Breed_code,Feeding_S,T_feed,B_source,Wash_buffalo,Control_milk,Wash_udder,Dry_udder,T_dipping,T_hand_milk1,T_hand_milk,Fre_milking,Udder_hygiene,Milker_hygiene,N_milker,Milk_cm_last
469,IV-B,F116A2FL,Staphylococcus hyicus ,Staphylococcus hyicus,1,236,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Single,F116A2FL,FL,Left,Front,3,0,0,236,2,1,3.5,0,Crossbreed,Crossbreed,2,5,2,0Good,1.5,0,12,3,2,1,1,1,1,3,0,0,1,1,0,1,0,0,0,0,116,81,Mymensingh,IV-B,0,"192,000",5.28,Bathan,0,November,2,0,14,4,Swamp type,2,2,1,0,0,0,0,0,3,1,1,1,4,3,1,0
1275,Noakhali,F262A2FL,Staphylococcus chromogenes ,Staphylococcus chromogenes,0,708,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F262A2FL,FL,Left,Front,1,0,0,708,2,0,4,0,Indigenous,Indigenous,1,5,2,0Good,2,0,4,1,1,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,262,225,Noakhali,Noakhali,1,"446,000",5.65,Household,2,March,1,1,6,2,River type,1,2,3,0,0,1,0,0,3,2,2,1,4,3,0,0
98,Sandwip,F50A2HL,Staphylococcus chromogenes ,Staphylococcus chromogenes,1,62,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Single,F50A2HL,HL,Left,Hind,2,0,0,62,2,1,4,0,Indigenous,Indigenous,1,5,2,0Good,1.5,0,6,1,2,1,1,1,1,3,0,0,2,2,0,0,0,0,0,0,50,21,Chattogram,Sandwip,0,"78,000",4.89,Bathan,0,February,0,2,14,3,River type,1,2,1,0,0,0,0,0,3,2,2,1,4,3,0,0
1307,Noakhali,F268A2FL,Staphylococcus epidermidis ,Staphylococcus epidermidis,1,726,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Single,F268A2FL,FL,Left,Front,2,0,0,726,2,1,4,0,Indigenous,Indigenous,1,5,2,0Good,,,4,1,2,1,1,1,1,3,0,0,1,3,0,1,1,0,0,0,268,231,Noakhali,Noakhali,1,"240,000",5.38,Semi-Bathan,1,April,1,2,32,14,River type,1,1,1,0,0,0,0,0,3,2,2,1,4,3,1,0
203,Bhola,F78A2HR,Staphylococcus chromogenes ,Staphylococcus chromogenes,1,117,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,3,Single,F78A2HR,HR,Right,Hind,3,0,0,117,2,1,4,0,Crossbreed,Crossbreed,2,5,2,0Good,1.5,0,5,1,2,1,1,1,1,2,0,0,1,2,0,1,0,0,0,0,78,47,Bhola,Bhola,1,"302,000",5.48,Household,2,March,1,0,22,3,River type,1,1,1,1,0,1,0,0,3,3,3,1,1,3,0,0
802,Sylhet,F174A3FL,Staphylococcus xylosus ,Staphylococcus xylosus,1,436,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Single,F174A3FL,FL,Left,Front,1,0,0,436,3,1,3,0,Indigenous,Indigenous,1,5,2,0Good,,,2,0,2,1,1,1,1,3,0,0,1,3,0,0,0,0,0,0,174,137,Moulvibazar,Sylhet,0,"157,000",5.2,Semi-Bathan,1,January,0,0,46,10,River type,1,1,2,0,0,0,0,0,3,4,1,1,4,3,1,0
507,IV-B,F124A112FL,Staphylococcus chromogenes ,Staphylococcus chromogenes,1,258,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,2,Single,F124A112FL,FL,Left,Front,1,0,0,258,112,1,3,0,Crossbreed,Crossbreed,2,5,2,0Good,3,1,3,0,1,1,1,1,1,3,0,0,3,2,0,0,0,0,0,0,124,88,Dhaka,IV-B,1,"296,000",5.47,Intensive,4,November,2,3,193,15,River type,1,2,3,2,1,1,1,0,3,7,1,1,3,3,0,1
94,Sandwip,F49A3FR,Staphylococcus chromogenes ,Staphylococcus chromogenes,0,60,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F49A3FR,FR,Right,Front,1,0,0,60,3,0,4,0,Crossbreed,Crossbreed,2,5,2,0Good,,,1.5,0,2,1,1,1,2,2,0,0,2,2,0,0,0,0,0,0,49,20,Chattogram,Sandwip,0,"89,000",4.95,Bathan,0,February,0,0,35,8,River type,1,2,3,2,0,0,0,0,3,,,1,4,2,1,0
455,IV-B,F114A1FR,Staphylococcus hominis ,Staphylococcus hominis,0,229,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F114A1FR,FR,Right,Front,1,0,0,229,1,0,3,0,Mediterranean,Crossbreed,2,5,2,0Good,5,1,3.5,1,2,1,1,1,1,3,0,0,1,2,0,0,0,0,0,0,114,79,Mymensingh,IV-B,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Noakhali,F258A20FL,Staphylococcus hyicus ,Staphylococcus hyicus,0,675,NAS,NAS,NAS,1,1,1,0,1,0,0,0,0,0,1,1,Single,F258A20FL,FL,Left,Front,1,0,0,675,20,1,12,3,Indigenous,Indigenous,1,5,2,0Good,2.5,0,6,1,1,2,2,2,1,3,0,0,2,1,0,0,0,0,0,0,258,221,Noakhali,Noakhali,1,"304,000",5.48,Semi-intensive,3,March,1,1,157,35,River type,1,2,3,2,0,1,0,0,3,1,1,1,4,3,1,0
